Timestamp,Feature,Pipeline,Model,Accuracy,F1_Macro,AUC_OVR,mAP,Train_Time,Model_File
20260129_211831,FFT_Origin,Raw,RF,0.395,0.3993481115724822,0.6891499999999999,0.4324701668898201,1.1216940879821775,fft_origin_raw_rf_20260129_211831.joblib
20260129_211831,FFT_Origin,Raw,KNN,0.385,0.3912450031559015,0.6105833333333333,0.3523815743780315,0.0020368099212646,fft_origin_raw_knn_20260129_211831.joblib
20260129_211831,FFT_Origin,Scaled,RF,0.375,0.3841190317430619,0.6869166666666667,0.4327926472182957,1.141975164413452,fft_origin_scaled_rf_20260129_211831.joblib
20260129_214355,Fusion_FFT_MFCC,Raw,LR,0.365,0.3670917191422809,0.6766666666666666,0.4599127478138124,2.2393667697906494,fusion_fft_mfcc_raw_lr_20260129_214355.joblib
20260129_211831,FFT_Origin,Scaled,KNN,0.36,0.3611112739139456,0.6368,0.3955156290018598,0.0019874572753906,fft_origin_scaled_knn_20260129_211831.joblib
20260129_212948,Fusion_FFT_STFT,Scaled,SVM,0.285,0.1757338251114184,0.50365,0.2866711217186573,50.653813123703,fusion_fft_stft_scaled_svm_20260129_212948.joblib
20260129_212358,MFCC_Default,Raw,SVM,0.27,0.1402671014830344,0.5,0.25,1.6580052375793457,mfcc_default_raw_svm_20260129_212358.joblib
20260129_211831,FFT_Origin,Scaled,SVM,0.26,0.1359311740890688,0.5727166666666668,0.3064129456333042,12.337923765182495,fft_origin_scaled_svm_20260129_211831.joblib
20260129_214355,Fusion_FFT_MFCC,Raw,SVM,0.26,0.1208567854909318,0.5,0.25,4.272869825363159,fusion_fft_mfcc_raw_svm_20260129_214355.joblib
20260129_214220,MFCCs,Raw,SVM,0.25,0.1,0.5,0.25,1.8594138622283936,mfccs_raw_svm_20260129_214220.joblib
